prod_account_name,target_account_number,target_account_name,action,note
Materials Dancing Pond - SF,53100,Events Materials,MAP,per-fountain detail moves to Item/Project reporting
Materials Fountain Pillar - SF,53100,Events Materials,MAP,per-fountain detail moves to Item/Project reporting
Materials Jumping Laminar - SF,53100,Events Materials,MAP,per-fountain detail moves to Item/Project reporting
Materials Water Light - SF,53100,Events Materials,MAP,per-fountain detail moves to Item/Project reporting
Video Water Screen (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Rent Professional Services & Subcontractors - SF,53200,Events Subcontract Labor,MAP,OD-3 rename + renamed Subcontract Labor
Rent Tools - SF,53400,Events Tools & Equipment,MAP,OD-3 rename
Rent Travel - SF,53600,Events Travel,MAP,OD-3 rename
Repairs and Maintenance (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Sales Commission - SF,55100,Sales Commissions,MAP,
Service COGS - SF,52000,Service COGS,MAP,structural group
Service Freight & Delivery - SF,52300,Service Freight & Delivery,MAP,
Service Insurance - SF,52700,Service Job Insurance,MAP,
Service Inventory - SF,52100,Service Materials,MAP,periodic-inventory purchases fold into materials until WI-060
Service Labor - SF,52500,Service Direct Labor,MAP,
Service Materials - SF,52100,Service Materials,MAP,
Service Professional Services & Subcontractors - SF,52200,Service Subcontract Labor,MAP,renamed Subcontract Labor - 77% of suppliers are staffing
Service Tools - SF,52400,Service Tools & Equipment,MAP,
Service Travel - SF,52600,Service Travel,MAP,
Subcontractors (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Shipping (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Shop Supplies - SF,55200,Shop Supplies & Small Tools,MAP,
Tax (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Unapplied Cash Bill Payment Expense - SF,,,RETIRE,QBO cash-basis artifact; meaningless in ERPNext accrual books
Uncategorized Expense - SF,61900,Miscellaneous Expense,MAP,structural group
Purchases - SF,61900,Miscellaneous Expense,MAP,uncategorized QBO purchases; recode at review
5111 - Cost of Goods Sold - SF,5111,Cost of Goods Sold,MAP,WI-060 perpetual-inventory COGS landing
